order_id,order_date,cust_id,gender,state,region,category,sub_category,product_name,quantity,unit_price,discount_pct,final_amount,payment_mode
ORD10000,2024-11-23,CUST9935,Male,Delhi,North,Home & Kitchen,Unknown,decor_items 704,2,48765,6.54,91154.05,Credit Card
ORD10001,2024-01-16,CUST9928,Male,Delhi,North,Fashion,Unknown,Item 325,1,37281,13.98,32070.33,Debit Card
ORD10002,2024-05-22,CUST6514,Male,Delhi,North,Beauty,Makeup,Makeup 194,2,14610,34.14,19243.05,Credit Card
ORD10003,2024-07-02,CUST7201,Male,Punjab,North,Electronics,Accessories,Accessories 665,5,8680,14.73,37006.68,COD
ORD10004,2024-07-04,CUST2654,Male,Maharashtra,West,Electronics,Mobile,mobiles 384,3,5729,13.55,14857.62,Debit Card
ORD10005,2024-03-24,CUST9751,Other,Punjab,North,Fashion,Women Wear,Women Wear 350,1,40420,31.78,27574.77,COD
ORD10006,2024-07-13,CUST2084,Male,Punjab,North,Home & Kitchen,Unknown,decor_items 680,1,21173,11.02,18840.27,Credit Card
ORD10007,2024-12-01,CUST9830,Female,Tamil Nadu,South,Beauty,Makeup,Makeup 864,2,16662,29.9,23360.2,Unknown
ORD10008,2024-10-25,CUST2796,Male,Tamil Nadu,South,Fashion,Unknown,Item 742,4,6457,35.16,16746.38,COD
ORD10009,2024-11-01,CUST1188,Other,Delhi,North,Beauty,Hair Care,Haircare 838,5,16976,48.19,43976.16,UPI
ORD10010,2024-05-16,CUST5315,Female,West Bengal,East,Electronics,Accessories,Accessories 880,2,30235,5.03,57426.88,COD
ORD10011,2024-02-24,CUST9689,Male,West Bengal,East,Fashion,Women Wear,Women Wear 713,2,35848,29.07,50853.98,Credit Card
ORD10012,2024-01-10,CUST2403,Other,Delhi,North,Home & Kitchen,Home Decor,Decor 597,2,37682,19.2,60890.92,UPI
ORD10013,2024-03-05,CUST9835,Unknown,Haryana,North,Fashion,Unknown,Item 847,5,28230,29.29,99811.04,COD
ORD10014,2024-07-23,CUST6539,Male,West Bengal,East,Beauty,Hair Care,Haircare 702,1,16746,19.49,13481.54,Debit Card
ORD10015,2024-10-28,CUST6413,Male,Haryana,North,Electronics,Mobile,Mobiles 626,2,4917,19.68,7899.07,COD
ORD10016,2024-12-08,CUST8749,Unknown,Tamil Nadu,South,Fashion,Unknown,Item 516,5,31476,14.86,133993.42,COD
ORD10017,2024-02-19,CUST2612,Male,West Bengal,East,Home & Kitchen,Appliances,Appliances 512,4,48280,5.81,181894.77,Credit Card
ORD10018,2024-05-07,CUST2235,Male,Haryana,North,Beauty,Hair Care,Haircare 927,2,18754,24.25,28411.35,Debit Card
ORD10019,2024-01-26,CUST7570,Male,West Bengal,East,Electronics,Mobile,mobiles 268,4,32326,9.81,116614.64,Credit Card
ORD10020,2024-07-18,CUST4566,Male,Punjab,North,Home & Kitchen,Unknown,Item 693,4,10644,7.85,39234.44,Debit Card
ORD10021,2024-06-09,CUST2312,Unknown,Delhi,North,Beauty,Unknown,Item 290,2,4227,34.22,5561.42,UPI
ORD10022,2024-02-04,CUST2343,Male,West Bengal,East,Beauty,Unknown,Item 773,2,38440,26.89,56206.67,Unknown
ORD10023,2024-09-24,CUST5915,Male,Punjab,North,Fashion,Women Wear,Women Wear 423,2,17907,17.92,29397.67,UPI
ORD10024,2024-08-22,CUST6718,Male,Maharashtra,West,Electronics,Mobile,mobiles 350,5,17880,6.32,83745.84,Credit Card
ORD10025,2024-03-21,CUST5905,Other,Tamil Nadu,South,Home & Kitchen,Unknown,Item 206,1,44269,24.16,33573.97,COD
ORD10026,2024-02-29,CUST4335,Other,Delhi,North,Fashion,Women Wear,Women Wear 749,5,14303,24.35,54099.49,COD
ORD10027,2024-09-07,CUST3143,Other,Punjab,North,Electronics,Accessories,Accessories 368,3,3389,5.04,9655.05,COD
ORD10028,2024-10-09,CUST7049,Female,West Bengal,East,Electronics,Mobile,Mobiles 665,2,36255,5.36,68623.26,COD
ORD10029,2024-03-06,CUST2684,Female,Delhi,North,Home & Kitchen,Furniture,Furniture 898,2,45199,8.74,82494.55,Debit Card
ORD10030,2024-11-13,CUST6442,Unknown,West Bengal,East,Fashion,Men Wear,mens_wear 521,4,2124,13.59,7341.63,COD
ORD10031,2024-03-22,CUST8541,Female,West Bengal,East,Beauty,Hair Care,Haircare 412,2,13579,43.86,15245.3,COD
ORD10032,2024-01-13,CUST9346,Male,West Bengal,East,Beauty,Makeup,Makeup 795,1,18792,22.02,14653.45,Debit Card
ORD10033,2024-01-15,CUST6663,Other,Delhi,North,Fashion,Women Wear,Women Wear 905,1,7604,21.93,5936.33,Credit Card
ORD10034,2024-11-06,CUST1027,Female,Maharashtra,West,Beauty,Skin Care,skin_care 925,3,3408,29.18,7241.08,Debit Card
ORD10035,2024-07-05,CUST9308,Female,Tamil Nadu,South,Home & Kitchen,Furniture,Furniture 782,1,47669,18.5,38849.9,Credit Card
ORD10036,2024-07-25,CUST3851,Female,West Bengal,East,Fashion,Ethnic,Ethnic 682,4,44888,24.96,134730.99,COD
ORD10037,2024-10-07,CUST8618,Male,Delhi,North,Home & Kitchen,Appliances,Appliances 552,5,40258,14.82,171457.65,COD
ORD10038,2024-08-30,CUST4848,Other,West Bengal,East,Electronics,Unknown,Item 417,5,22466,5.93,105664.48,COD
ORD10039,2024-03-16,CUST4185,Other,Delhi,North,Fashion,Unknown,Item 813,1,30346,25.6,22576.1,Credit Card
ORD10040,2024-07-23,CUST9486,Male,Haryana,North,Electronics,Accessories,Accessories 151,2,12026,13.04,20915.35,Debit Card
ORD10041,2024-03-03,CUST8251,Female,Tamil Nadu,South,Beauty,Unknown,Item 934,5,39523,21.35,155432.18,Debit Card
ORD10042,2024-10-07,CUST9540,Male,Tamil Nadu,South,Beauty,Makeup,Makeup 741,2,42289,20.55,67200.41,COD
ORD10043,2024-08-13,CUST2320,Male,Delhi,North,Home & Kitchen,Furniture,Furniture 254,3,21452,18.4,52517.45,COD
ORD10044,2024-12-21,CUST2020,Male,Haryana,North,Electronics,Accessories,Accessories 952,3,36060,9.66,97730.63,Credit Card
ORD10045,2024-10-26,CUST7865,Female,West Bengal,East,Beauty,Skin Care,Skincare 865,3,20069,42.1,34861.48,Debit Card
ORD10046,2024-04-22,CUST7624,Other,Tamil Nadu,South,Home & Kitchen,Appliances,Appliances 269,1,25984,10.04,23374.7,Debit Card
ORD10047,2024-11-14,CUST3223,Unknown,Maharashtra,West,Beauty,Unknown,Item 572,1,6001,27.85,4329.42,COD
ORD10048,2024-05-13,CUST7906,Female,Tamil Nadu,South,Fashion,Women Wear,Women Wear 954,3,25346,15.57,64202.58,UPI
ORD10049,2024-01-10,CUST5051,Male,West Bengal,East,Home & Kitchen,Home Decor,Decor 959,1,49929,5.47,47200.16,UPI
ORD10050,2024-03-19,CUST5198,Unknown,Haryana,North,Beauty,Skin Care,Skincare 477,5,14784,34.02,48771.71,COD
ORD10051,2024-11-06,CUST7149,Male,West Bengal,East,Fashion,Unknown,Men Wear 832,5,2182,28.58,7792.17,COD
ORD10052,2024-10-30,CUST1672,Female,West Bengal,East,Electronics,Unknown,Mobile Phones 645,5,8433,18.15,34513.24,Credit Card
ORD10053,2024-02-05,CUST8532,Other,Maharashtra,West,Electronics,Accessories,Accessories 256,1,28911,14.61,24687.72,Credit Card
ORD10054,2024-09-24,CUST5022,Unknown,West Bengal,East,Beauty,Hair Care,Haircare 188,5,18089,21.45,71048.08,COD
ORD10055,2024-05-04,CUST4475,Female,Tamil Nadu,South,Beauty,Skin Care,Skincare 916,4,21800,18.64,70948.71,COD
ORD10056,2024-05-23,CUST9004,Female,Maharashtra,West,Electronics,Mobile,mobiles 876,1,16317,12.2,14326.2,COD
ORD10057,2024-11-26,CUST4986,Female,West Bengal,East,Beauty,Skin Care,Skincare 779,3,15022,23.09,34661.15,Unknown
ORD10058,2024-08-30,CUST5438,Female,Maharashtra,West,Beauty,Unknown,Item 357,3,23556,29.06,50133.93,COD
ORD10059,2024-04-08,CUST9595,Female,Punjab,North,Fashion,Men Wear,mens_wear 389,4,18620,34.29,48942.01,UPI
ORD10060,2024-05-31,CUST1893,Female,Haryana,North,Fashion,Unknown,Men Wear 399,5,8795,15.49,37164.93,COD
ORD10061,2024-02-22,CUST1841,Female,Delhi,North,Home & Kitchen,Appliances,Appliances 982,4,22828,7.77,84221.21,Debit Card
ORD10062,2024-02-03,CUST5978,Male,Tamil Nadu,South,Electronics,Mobile,Mobiles 354,2,10277,13.11,17859.08,UPI
ORD10063,2024-08-01,CUST6003,Female,Maharashtra,West,Beauty,Hair Care,Haircare 735,3,39069,34.8,76418.23,UPI
ORD10064,2024-02-20,CUST2229,Male,Haryana,North,Home & Kitchen,Home Decor,Decor 102,2,16219,7.61,29970.38,Credit Card
ORD10065,2024-12-18,CUST8438,Male,Maharashtra,West,Home & Kitchen,Unknown,decor_items 803,3,46831,9.24,127510.36,COD
ORD10066,2024-11-16,CUST5352,Unknown,Maharashtra,West,Beauty,Unknown,Item 245,2,42943,17.98,70443.88,UPI
ORD10067,2024-03-25,CUST5460,Female,Punjab,North,Beauty,Hair Care,Haircare 652,3,46357,32.27,94192.46,Debit Card
ORD10068,2024-02-11,CUST4750,Other,Maharashtra,West,Beauty,Makeup,Makeup 956,5,16908,15.52,71421.68,Unknown
ORD10069,2024-01-11,CUST5557,Male,West Bengal,East,Electronics,Accessories,Accessories 699,5,43197,9.42,195634.26,Credit Card
ORD10070,2024-02-16,CUST9117,Female,Tamil Nadu,South,Beauty,Makeup,Makeup 778,1,11039,21.6,8655.01,Credit Card
ORD10071,2024-01-19,CUST1018,Other,Tamil Nadu,South,Home & Kitchen,Furniture,Furniture 990,1,26988,17.97,22137.27,Debit Card
ORD10072,2024-07-30,CUST9998,Male,Delhi,North,Home & Kitchen,Appliances,Appliances 394,4,3882,8.05,14277.47,Debit Card
ORD10073,2024-03-03,CUST7684,Male,Delhi,North,Fashion,Men Wear,mens_wear 330,3,36599,10.27,98517.02,UPI
ORD10074,2024-03-01,CUST8905,Male,West Bengal,East,Beauty,Makeup,Makeup 349,5,46729,20.47,185821.38,Debit Card
ORD10075,2024-03-15,CUST9318,Female,Tamil Nadu,South,Fashion,Women Wear,Women Wear 940,4,22774,40.16,54512.8,UPI
ORD10076,2024-06-01,CUST9903,Male,Maharashtra,West,Fashion,Unknown,Item 566,4,23118,16.65,77076.52,Credit Card
ORD10077,2024-12-23,CUST7246,Male,Haryana,North,Fashion,Unknown,Men Wear 779,3,49304,19.46,119129.03,COD
ORD10078,2024-01-19,CUST3361,Male,Haryana,North,Electronics,Mobile,Mobiles 991,5,30445,5.15,144380.12,COD
ORD10079,2024-08-28,CUST7226,Female,Punjab,North,Beauty,Skin Care,Skincare 741,3,44694,32.19,90925.24,Debit Card
ORD10080,2024-01-19,CUST2612,Unknown,Maharashtra,West,Fashion,Women Wear,Women Wear 748,2,49440,11.81,87204.66,UPI
ORD10081,2024-03-26,CUST8056,Male,West Bengal,East,Electronics,Unknown,Mobile Phones 350,1,19726,12.02,17355.23,Debit Card
ORD10082,2024-10-16,CUST4945,Male,West Bengal,East,Fashion,Unknown,Men Wear 697,5,25570,22.39,99219.01,COD
ORD10083,2024-08-24,CUST3588,Male,West Bengal,East,Beauty,Skin Care,Skincare 552,4,19350,28.55,55300.58,Credit Card
ORD10084,2024-06-02,CUST2747,Male,West Bengal,East,Home & Kitchen,Furniture,Furniture 490,2,25711,17.8,42268.87,Unknown
ORD10085,2024-10-21,CUST1803,Female,Punjab,North,Electronics,Accessories,Accessories 863,3,1030,14.92,2628.88,Debit Card
ORD10086,2024-04-27,CUST3240,Other,Maharashtra,West,Fashion,Men Wear,mens_wear 199,5,16925,23.56,64691.34,UPI
ORD10087,2024-08-13,CUST7807,Male,Delhi,North,Home & Kitchen,Unknown,decor_items 305,1,19840,9.9,17875.68,COD
ORD10088,2024-07-06,CUST2886,Male,Maharashtra,West,Fashion,Ethnic,Ethnic 177,3,49426,27.41,107638.06,COD
ORD10089,2024-12-12,CUST8451,Female,West Bengal,East,Home & Kitchen,Appliances,Appliances 788,1,17831,13.05,15504.31,COD
ORD10090,2024-07-14,CUST6374,Female,West Bengal,East,Electronics,Mobile,mobiles 326,4,2140,11.2,7601.67,UPI
ORD10091,2024-12-24,CUST2902,Male,Punjab,North,Electronics,Mobile,Mobiles 340,1,20446,14.96,17387.43,Debit Card
ORD10092,2024-07-17,CUST9017,Female,Tamil Nadu,South,Beauty,Skin Care,skin_care 517,4,43420,16.98,144188.38,COD
ORD10093,2024-12-19,CUST7018,Female,Punjab,North,Beauty,Skin Care,skin_care 760,3,7011,34.62,13751.68,Credit Card
ORD10094,2024-07-22,CUST1349,Male,Punjab,North,Electronics,Mobile,Mobiles 905,2,42554,11.39,75410.0,Credit Card
ORD10095,2024-03-05,CUST4817,Female,Maharashtra,West,Electronics,Mobile,mobiles 892,5,14652,13.13,63640.57,COD
ORD10096,2024-01-02,CUST1422,Male,Punjab,North,Fashion,Women Wear,Women Wear 115,2,7704,23.22,11830.08,Credit Card
ORD10097,2024-10-28,CUST2862,Other,Punjab,North,Fashion,Unknown,Men Wear 165,2,49109,25.79,72890.63,Debit Card
ORD10098,2024-07-04,CUST9543,Female,Maharashtra,West,Beauty,Skin Care,skin_care 569,5,3341,29.54,11769.53,UPI
ORD10099,2024-09-02,CUST3430,Male,Tamil Nadu,South,Electronics,Accessories,Accessories 229,1,5794,8.22,5317.67,COD
ORD10100,2024-11-20,CUST8048,Male,Maharashtra,West,Beauty,Unknown,Item 912,3,30234,25.11,67925.8,UPI
ORD10101,2024-04-20,CUST2557,Female,Tamil Nadu,South,Fashion,Women Wear,Women Wear 537,4,26631,18.32,87009.02,Credit Card
ORD10102,2024-07-10,CUST7105,Unknown,Haryana,North,Electronics,Mobile,Mobiles 233,1,28803,5.97,27084.72,Debit Card
ORD10103,2024-10-27,CUST5712,Female,Maharashtra,West,Electronics,Unknown,Mobile Phones 419,4,47755,7.72,176272.79,Credit Card
ORD10104,2024-10-22,CUST7022,Male,Maharashtra,West,Fashion,Ethnic,Ethnic 880,2,7592,23.8,11569.72,COD
ORD10105,2024-04-25,CUST6062,Female,Tamil Nadu,South,Electronics,Unknown,Mobile Phones 459,1,12323,7.73,11370.1,UPI
ORD10106,2024-03-14,CUST7163,Male,Maharashtra,West,Electronics,Mobile,Mobiles 564,1,49397,14.43,42270.61,Credit Card
ORD10107,2024-07-08,CUST2336,Female,Punjab,North,Electronics,Mobile,mobiles 553,2,49942,11.18,88718.59,Credit Card
ORD10108,2024-11-06,CUST5640,Other,Tamil Nadu,South,Home & Kitchen,Unknown,Item 794,1,23121,11.45,20473.95,Unknown
ORD10109,2024-09-26,CUST5938,Male,West Bengal,East,Electronics,Accessories,Accessories 885,5,4090,5.08,19411.78,COD
ORD10110,2024-05-28,CUST4770,Female,Punjab,North,Electronics,Accessories,Accessories 672,2,8966,8.8,16353.61,Credit Card
ORD10111,2024-07-22,CUST7626,Other,West Bengal,East,Beauty,Hair Care,Haircare 755,1,21016,26.52,15443.57,Credit Card
ORD10112,2024-02-28,CUST2443,Male,Tamil Nadu,South,Home & Kitchen,Unknown,Item 964,4,45694,18.8,148420.42,UPI
ORD10113,2024-08-11,CUST3754,Male,Maharashtra,West,Electronics,Unknown,Mobile Phones 622,3,15020,8.33,41306.19,UPI
ORD10114,2024-09-18,CUST4232,Male,Haryana,North,Home & Kitchen,Unknown,decor_items 716,2,7237,7.2,13432.35,COD
ORD10115,2024-03-31,CUST6295,Unknown,West Bengal,East,Beauty,Unknown,Item 742,4,45138,46.88,95915.87,Credit Card
ORD10116,2024-08-13,CUST9312,Male,Delhi,North,Beauty,Makeup,Makeup 417,3,39259,16.12,98787.29,Debit Card
ORD10117,2024-01-20,CUST8581,Female,Delhi,North,Home & Kitchen,Home Decor,Decor 667,5,39433,12.61,172310.35,UPI
ORD10118,2024-10-19,CUST8381,Male,West Bengal,East,Home & Kitchen,Appliances,Appliances 930,5,10386,27.11,37850.65,Credit Card
ORD10119,2024-09-15,CUST3600,Female,West Bengal,East,Electronics,Accessories,Accessories 481,4,34845,10.23,125124.94,COD
ORD10120,2024-07-28,CUST5655,Female,Punjab,North,Home & Kitchen,Furniture,Furniture 841,1,37066,15.18,31440.98,Unknown
ORD10121,2024-06-19,CUST2388,Female,Delhi,North,Fashion,Women Wear,Women Wear 672,4,8950,21.9,27959.5,Credit Card
ORD10122,2024-03-06,CUST4509,Female,West Bengal,East,Beauty,Makeup,Makeup 884,1,24263,21.18,19124.75,Debit Card
ORD10123,2024-04-25,CUST9626,Male,Haryana,North,Electronics,Mobile,Mobiles 777,5,35874,13.35,155421.96,Credit Card
ORD10124,2024-03-08,CUST1715,Male,Maharashtra,West,Fashion,Men Wear,mens_wear 473,5,11348,24.42,42882.02,COD
ORD10125,2024-11-08,CUST4178,Female,Punjab,North,Fashion,Men Wear,mens_wear 794,3,31237,28.08,67397.43,Unknown
ORD10126,2024-08-24,CUST1854,Other,Punjab,North,Beauty,Skin Care,skin_care 592,5,9570,32.46,32317.87,Credit Card
ORD10127,2024-02-22,CUST3414,Unknown,West Bengal,East,Home & Kitchen,Unknown,decor_items 547,3,29946,18.58,73146.47,UPI
ORD10128,2024-08-18,CUST2337,Female,Punjab,North,Beauty,Hair Care,Haircare 329,5,25007,19.72,100383.65,UPI
ORD10129,2024-02-20,CUST3273,Unknown,West Bengal,East,Fashion,Unknown,Men Wear 822,3,31462,23.92,71807.51,Debit Card
ORD10130,2024-11-11,CUST9647,Male,Delhi,North,Electronics,Mobile,mobiles 213,2,36466,14.4,62428.14,COD
ORD10131,2024-06-03,CUST9189,Female,Delhi,North,Fashion,Unknown,Item 648,4,4616,12.22,16208.22,UPI
ORD10132,2024-10-21,CUST7825,Male,Haryana,North,Home & Kitchen,Home Decor,Decor 780,5,23622,12.05,103875.56,UPI
ORD10133,2024-07-03,CUST7116,Female,Delhi,North,Electronics,Accessories,Accessories 865,1,42159,8.87,38420.0,UPI
ORD10134,2024-02-04,CUST6546,Unknown,Punjab,North,Electronics,Unknown,Mobile Phones 758,2,3405,8.52,6229.58,COD
ORD10135,2024-12-22,CUST1717,Unknown,Tamil Nadu,South,Fashion,Unknown,Men Wear 304,4,2923,15.87,9836.61,UPI
ORD10136,2024-06-07,CUST1783,Unknown,Maharashtra,West,Beauty,Skin Care,Skincare 771,2,19250,22.14,29976.3,Credit Card
ORD10137,2024-03-04,CUST9129,Other,Punjab,North,Beauty,Hair Care,Haircare 609,4,22719,34.47,59546.98,Credit Card
ORD10138,2024-05-16,CUST6262,Male,Delhi,North,Beauty,Hair Care,Haircare 181,5,12326,25.91,45661.98,Credit Card
ORD10139,2024-06-05,CUST6776,Female,Tamil Nadu,South,Beauty,Hair Care,Haircare 545,3,29803,15.85,75240.26,COD
ORD10140,2024-02-08,CUST8179,Male,West Bengal,East,Home & Kitchen,Unknown,decor_items 229,1,9857,17.73,8109.35,UPI
ORD10141,2024-11-26,CUST7077,Female,Punjab,North,Beauty,Skin Care,Skincare 554,5,10555,28.58,37691.25,UPI
ORD10142,2024-03-11,CUST4048,Male,Maharashtra,West,Beauty,Makeup,Makeup 630,2,7934,21.73,12420.59,Credit Card
ORD10143,2024-03-01,CUST9047,Male,Punjab,North,Beauty,Unknown,Item 225,3,45980,33.33,91965.18,COD
ORD10144,2024-08-19,CUST9882,Female,Haryana,North,Electronics,Unknown,Mobile Phones 407,3,47000,5.65,133034.36,COD
ORD10145,2024-07-04,CUST7044,Male,Maharashtra,West,Electronics,Mobile,mobiles 922,2,32876,5.26,62291.58,Debit Card
ORD10146,2024-11-09,CUST2208,Male,Delhi,North,Home & Kitchen,Appliances,Appliances 424,5,27421,16.54,114431.3,UPI
ORD10147,2024-08-26,CUST1907,Unknown,West Bengal,East,Fashion,Unknown,Item 227,2,8956,18.65,14570.99,Debit Card
ORD10148,2024-06-04,CUST2292,Female,Haryana,North,Home & Kitchen,Unknown,decor_items 301,3,34506,18.42,84445.96,Debit Card
ORD10149,2024-03-05,CUST6531,Unknown,West Bengal,East,Electronics,Mobile,mobiles 677,5,38553,6.54,180154.42,UPI
ORD10150,2024-02-11,CUST1496,Male,Delhi,North,Home & Kitchen,Unknown,decor_items 742,5,27801,14.27,119166.73,Debit Card
ORD10151,2024-11-24,CUST1981,Male,Punjab,North,Fashion,Ethnic,Ethnic 550,3,30223,11.46,80278.82,Credit Card
ORD10152,2024-08-25,CUST7070,Female,Haryana,North,Fashion,Women Wear,Women Wear 675,3,26630,12.62,69811.62,UPI
ORD10153,2024-05-03,CUST7293,Unknown,Tamil Nadu,South,Home & Kitchen,Unknown,decor_items 730,2,6844,5.76,12899.7,Credit Card
ORD10154,2024-03-22,CUST6055,Male,Punjab,North,Fashion,Ethnic,Ethnic 123,5,31093,27.97,111988.79,UPI
ORD10155,2024-09-15,CUST8710,Female,Tamil Nadu,South,Fashion,Women Wear,Women Wear 649,1,3812,15.63,3216.29,UPI
ORD10156,2024-08-08,CUST4189,Female,Haryana,North,Home & Kitchen,Furniture,Furniture 666,1,26752,5.77,25209.11,COD
ORD10157,2024-07-16,CUST7453,Female,Maharashtra,West,Home & Kitchen,Unknown,Item 913,1,8932,19.63,7178.98,Credit Card
ORD10158,2024-07-06,CUST6456,Unknown,Haryana,North,Beauty,Skin Care,Skincare 585,1,3050,17.74,2508.91,Debit Card
ORD10159,2024-03-17,CUST5902,Female,Maharashtra,West,Home & Kitchen,Furniture,Furniture 444,2,26252,27.8,37906.35,Debit Card
ORD10160,2024-09-29,CUST7824,Female,Tamil Nadu,South,Home & Kitchen,Home Decor,Decor 415,3,22208,15.11,56559.05,UPI
ORD10161,2024-08-30,CUST7229,Male,Punjab,North,Electronics,Accessories,Accessories 941,2,34856,11.29,61841.34,COD
ORD10162,2024-10-20,CUST4340,Male,West Bengal,East,Fashion,Ethnic,Ethnic 613,3,27945,18.24,68543.43,Unknown
ORD10163,2024-02-01,CUST3837,Male,West Bengal,East,Fashion,Women Wear,Women Wear 645,4,34937,17.54,115241.1,Credit Card
ORD10164,2024-06-30,CUST5876,Unknown,West Bengal,East,Beauty,Skin Care,skin_care 395,3,37074,20.97,87898.77,COD
ORD10165,2024-06-11,CUST7464,Unknown,Tamil Nadu,South,Home & Kitchen,Home Decor,Decor 453,5,44843,13.15,194735.52,COD
ORD10166,2024-01-22,CUST9824,Female,Punjab,North,Home & Kitchen,Furniture,Furniture 675,4,14523,8.03,53426.62,COD
ORD10167,2024-02-25,CUST2641,Male,Maharashtra,West,Fashion,Unknown,Item 438,2,42308,14.66,72214.06,Debit Card
ORD10168,2024-12-14,CUST5706,Female,Haryana,North,Fashion,Ethnic,Ethnic 392,4,43133,13.99,148396.29,UPI
ORD10169,2024-11-29,CUST7504,Unknown,Maharashtra,West,Electronics,Accessories,Accessories 607,2,2881,14.97,4899.33,COD
ORD10170,2024-01-20,CUST9092,Male,Delhi,North,Electronics,Unknown,Mobile Phones 971,4,42529,10.43,152367.79,Debit Card
ORD10171,2024-05-19,CUST6523,Unknown,Haryana,North,Home & Kitchen,Appliances,Appliances 402,3,47594,7.79,131655.02,Unknown
ORD10172,2024-03-30,CUST4027,Male,Maharashtra,West,Beauty,Makeup,Makeup 588,1,26769,39.74,16131.22,Credit Card
ORD10173,2024-01-04,CUST1187,Female,Punjab,North,Fashion,Women Wear,Women Wear 769,3,20288,21.65,47687.42,Credit Card
ORD10174,2024-02-01,CUST6095,Other,West Bengal,East,Beauty,Skin Care,skin_care 220,4,45462,25.05,136294.33,COD
ORD10175,2024-11-10,CUST7121,Male,Haryana,North,Fashion,Men Wear,mens_wear 818,4,49503,29.78,139050.44,Debit Card
ORD10176,2024-10-02,CUST6927,Male,West Bengal,East,Fashion,Unknown,Item 677,1,34939,18.93,28323.31,UPI
ORD10177,2024-10-07,CUST4365,Other,Maharashtra,West,Fashion,Women Wear,Women Wear 697,5,29456,12.32,129128.03,Debit Card
ORD10178,2024-09-18,CUST8575,Other,Tamil Nadu,South,Beauty,Unknown,Item 926,4,30436,26.28,89751.84,COD
ORD10179,2024-07-21,CUST2044,Female,Punjab,North,Fashion,Unknown,Men Wear 161,1,28267,16.89,23492.54,UPI
ORD10180,2024-01-17,CUST7184,Male,Punjab,North,Fashion,Ethnic,Ethnic 182,3,25566,18.97,62147.82,Debit Card
ORD10181,2024-11-30,CUST4648,Unknown,Punjab,North,Fashion,Ethnic,Ethnic 103,5,8845,24.56,33364.59,UPI
