ORDER ID,Order Date,Customer_id,Gender,STATE,Region,category,Subcategory,Product_Name,Quantity,unit price,discount%,FINAL AMOUNT,payment mode,order_source
ORD10000,2024-11-23,CUST9935,Male,Haryana,North,Electronics,,Audio Item 350,2,9644,12.36,16903.09,UPI,App
ORD10001,2024-02-17,CUST9928,,Uttar Pradesh,North,Fashion,Men Wear,Men Wear Item 674,2,47425,23.0,73036.69,Debit Card,WEB
ORD10002,2024-05-22,CUST4527,Other,Karnataka,South,Electronics,Laptops,Laptops Item 814,4,22798,7.78,84098.44,UPI,app
ORD10003,2024-02-19,CUST3045,,Maharashtra,West,Home & Kitchen,Storage,Storage Item 926,1,48323,11.89,42576.73,,Mobile Web
ORD10004,2024-11-17,CUST5741,Male,Bihar,East,Home & Kitchen,Decor,Decor Item 821,1,3503,14.92,2980.39,UPI,app
ORD10005,2024-05-22,CUST2169,Female,West Bengal,East,Home & Kitchen,Decor,Decor Item 479,3,14230,15.05,36264.03,COD,app
ORD10006,2024-07-13,CUST6168,,Rajasthan,West,Fashion,,Accessories Item 963,1,15510,26.44,11409.77,UPI,Website
ORD10007,2024-10-17,CUST8517,Female,Kerala,South,Home & Kitchen,,Decor Item 771,4,26428,25.58,78672.62,COD,Website
ORD10008,2024-10-14,CUST3266,,Odisha,East,Home & Kitchen,Appliances,Appliances Item 697,4,24223,8.29,88859.84,UPI,
ORD10009,2024-02-26,CUST8668,Other,Punjab,North,Fashion,Ethnic,Ethnic Item 710,1,25716,17.63,21181.66,UPI,
ORD10010,2024-10-01,CUST1053,Other,Karnataka,South,Home & Kitchen,Storage,Storage Item 214,3,28992,7.37,80563.81,,App
ORD10011,2024-11-16,CUST9689,Male,Rajasthan,West,Fashion,,Women Wear Item 482,2,35848,29.07,50853.98,Debit Card,App
ORD10012,2024-02-27,CUST2403,,Maharashtra,West,Home & Kitchen,Decor,Decor Item 159,2,37682,19.2,60890.92,,
ORD10013,2024-03-05,CUST4470,Female,Punjab,North,Beauty,,Makeup Item 371,5,40253,23.46,154042.68,Debit Card,
ORD10014,2024-11-28,CUST1344,Female,Maharashtra,West,Beauty,Fragrance,Fragrance Item 223,2,15225,16.28,25492.58,UPI,App
ORD10015,2024-12-28,CUST4899,Other,Tamil Nadu,South,Electronics,,Laptops Item 169,1,22154,5.71,20889.32,COD,WEB
ORD10016,2024-03-08,CUST2588,,Kerala,South,Beauty,,Makeup Item 903,4,27177,18.81,88261.98,Debit Card,app
ORD10017,2024-08-27,CUST2790,Female,Telangana,South,Electronics,Mobiles,Mobiles Item 162,4,48224,8.39,176706.19,COD,WEB
ORD10018,2024-08-17,CUST2235,,Punjab,North,Beauty,Makeup,Makeup Item 385,4,16871,32.49,45558.64,UPI,
